Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
a12ae24af7e6cc07b175c83b63f976c8b8ae93a2b4e8ebf26d12e3c1e3a3580c,2024-11,City of London Police,City of London Police,-0.10622,51.518275,On or near B500,E01000916,Camden 027B,Theft from the person,Investigation complete; no suspect identified,
22bcc39352b9afb07251327a21b6beec2a70d209083978d8e615f87372282999,2024-11,City of London Police,City of London Police,-0.105965,51.518514,On or near Further/Higher Educational Building,E01000916,Camden 027B,Violence and sexual offences,Investigation complete; no suspect identified,
eb0ec82e3cd2ecf2a0cf77b7a4f8b60978c212908ae2c3fed03436c4bb1abc18,2024-11,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Other theft,Investigation complete; no suspect identified,
a64f28967bda38e8c86781761fb310eb129d04e8b6e613330860250f28faf24a,2024-11,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
fceddaf42201ef2c5b45339585b71dc3640db887825ce99957b84afc23dcbb84,2024-11,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
df55691882572a0c98fc6321a3f6e0ad502eec3f577a77cd2bfe886920020084,2024-11,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Bicycle theft,Investigation complete; no suspect identified,
e46af124f1a3146b6b1ce806fefb340212488e84e7ff72e270db3fe3e86d529b,2024-11,City of London Police,City of London Police,-0.096367,51.515355,On or near Foster Lane,E01000001,City of London 001A,Burglary,Unable to prosecute suspect,
25e2444ec1e9af68e4156c67b1f456d0428a1c48c7b9b95a32a776bd8b6b341f,2024-11,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Drugs,Status update unavailable,
aa260d8d5d5e864ad40b9619c06d36dd3e77572398b23084525438de23e79779,2024-11,City of London Police,City of London Police,-0.096367,51.515355,On or near Foster Lane,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
2bec52657dff603a9c7332857a7bad987d5c3856772b039f0eed1d7c591e55a5,2024-11,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
