Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
41fda268615ce73bde2e10f11ece2b8a7d745c6f5f81836a7b1bf7113bb66b8c,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.843031,51.1273,On or near Coulter Road,E01032816,Ashford 008E,Violence and sexual offences,Under investigation,
f4355cf5cd5ed774daf442a4f4dc8410f387f320d6222bb63c7156b8cefda937,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.668497,52.08713,On or near Lower Road,E01029885,Babergh 002C,Violence and sexual offences,Under investigation,
1b886b0c350f5fe8ccf82457ae453c530721cfdbc9312997347ce1d9ec71b40a,2024-12,Metropolitan Police Service,Metropolitan Police Service,1.114704,52.063495,On or near Sproughton Road,E01029878,Babergh 005B,Theft from the person,Under investigation,
d5ac33e025c692825fb695cfbc698634d7dc25c4b2dde2966b1b368b6f18181b,2024-12,Metropolitan Police Service,Metropolitan Police Service,1.066375,51.960589,On or near Brooklands Road,E01029870,Babergh 010A,Violence and sexual offences,Unable to prosecute suspect,
,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.136416,51.584898,On or near Lawn Farm Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
e433c9a34f5e820e0adc350d057368c7975dd7439baa956154234787d5718318,2024-12,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Burglary,Investigation complete; no suspect identified,
