Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
229901b3c81268eb54ce3ea1cb1e8457a9b633f365650dc7348884a453d052bf,2024-04,City of London Police,City of London Police,-0.10622,51.518275,On or near B500,E01000916,Camden 027B,Criminal damage and arson,Investigation complete; no suspect identified,
68ee705af08534ed392b9e34ab7c449bc75e9a0ffd5b7c1c9914996cea56556d,2024-04,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
60d2fe32bf59c977fb403c9fdb5f5599ad3e9d3b5ab59b46176044a9289f6cc3,2024-04,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
b35bed0361cb4690605e13209ba8bd6dfee5fd98408a4025983e137696be653c,2024-04,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
951ac2694de09340161d863942a6582a66acd05011d3e704012873e277fe277e,2024-04,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
51767436af4677a4295820198358fa87d95d9ec10224b3127267a6ccd39ff368,2024-04,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
dfb40c39f8f44e124bc4b13d6f1eef193abef5380803984e3cdcbff3e60bb826,2024-04,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Criminal damage and arson,Status update unavailable,
a0224e43e31ee172a084314649c660b366c07012861d5571272e1aa96d7a7cfc,2024-04,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Drugs,Unable to prosecute suspect,
a986ec24959ec8cebb9aacd4f9049a1dbd992ab9dc1d3273cb9acc3c0f1f813d,2024-04,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
33b2ddfe246429e7276b109446a86fdc0739b59176a197d9eaf1f2cac3884d3a,2024-04,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Possession of weapons,Status update unavailable,
