Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
9215407adc6da77a589f29a672d52757cc98e9fbed8e8811ebe6f51eed6110ae,2024-07,City of London Police,City of London Police,-0.109842,51.522012,On or near White Bear Yd,E01000916,Camden 027B,Drugs,Offender given a drugs possession warning,
b0af8db7272bb7e5aa0ca7af5816e6612c2fcac3f39acf1317303a2c2d3c4c13,2024-07,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Other theft,Investigation complete; no suspect identified,
7a038ce9bc2e3aaa32da4f42c460528f20d4945410dcbfdb4947115ab228bc20,2024-07,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Drugs,Offender given a drugs possession warning,
0d5251a152f13ad4ce3841e9232006737bb3da480b276e6fe10c09c633fb2aeb,2024-07,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
da27053845eeedaf9bdebf855abfcbdd63d49f36a3bd27a6b6f8452011492f16,2024-07,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Violence and sexual offences,Status update unavailable,
94009b6c3fe00522e9b46873f52598875dce2f5ed54e5814d1661fa03a347383,2024-07,City of London Police,City of London Police,-0.096367,51.515355,On or near Foster Lane,E01000001,City of London 001A,Burglary,Court result unavailable,
7c65f892ef3341f34387c1643c8e9d7dcd56c4f6b3e63caf40ca4ebaf0e5ad46,2024-07,City of London Police,City of London Police,-0.097103,51.518461,On or near Aldersgate Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified,
8d304c4c0072f163247b140c4d08c41277e3e8d47d1ef23d37f762774231f097,2024-07,City of London Police,City of London Police,-0.097103,51.518461,On or near Aldersgate Street,E01000001,City of London 001A,Criminal damage and arson,Investigation complete; no suspect identified,
1374fb571921018783141e34db7cb012e2d6d5cbb000585ecfb6660e4b809d0e,2024-07,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Criminal damage and arson,Investigation complete; no suspect identified,
25f9a93e726a8b21871c7b2740298e33c5fc2f47c323d24efc64232478c403f3,2024-07,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
