Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
187b63bced3210b6eb8f09407688ef94b8b5569ac92940a1685b00c853692ecf,2024-06,City of London Police,City of London Police,-0.109842,51.522012,On or near White Bear Yd,E01000916,Camden 027B,Drugs,Offender given a drugs possession warning,
2f9ad0710f8848244e6f2374e5bbdce750d7464b982b63f49e3ef47231f30a29,2024-06,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
af786f0905d3929b5d235e7b57c54c92e6b4e79bf04a5dce6a5fafc440f11324,2024-06,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
acf5f159790ea182d75d3e0577a21cbe544c1f532ca6142fe6c90492dd0067a1,2024-06,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
db3002888e7de313d682a01ac21fb563b34bb488b5fe830e7a84cd901063e77a,2024-06,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
51adc793a215d392a0eef5c1cf46c45b48c86b7f1e4c1087d9314ce62a35a0f1,2024-06,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
d724cd7c63302a717da34d2991a59fceb5705d4e6e275a1d18e39ecfdca29265,2024-06,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
e685db3d80dd1642970a914fbb94c41c7b8012e6cbc17669e134c6a1bd51753b,2024-06,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
7400ed936cb562056f3b50c499a0017bd41d7a82bed5492e5843d6fbacadc8ff,2024-06,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other crime,Investigation complete; no suspect identified,
037ac1e5ba6b0a7c250ea93d0bfaa0519d08909c46ac58bf9c477e12fce6cd1c,2024-06,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other crime,Investigation complete; no suspect identified,
