Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
5a10b2cf8fa37fbf3933f66319f1c2ce76ef9697e194423c850e698791d99566,2024-12,City of London Police,City of London Police,-0.105965,51.518514,On or near Further/Higher Educational Building,E01000916,Camden 027B,Robbery,Investigation complete; no suspect identified,
71ac2a8e6b747e5044b1bb5e8b93b8b13a09bf39649390190af678bbf0f11e1f,2024-12,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
e5dc3c4e04ebc5285c57dabef730c271df889665252ed99c198986b8f8639ac5,2024-12,City of London Police,City of London Police,-0.112096,51.515942,On or near Nightclub,E01000914,Camden 028B,Robbery,Under investigation,
2072389e40234ffec9830716e10ba0aa4ad91fbe282bf5933436040d28a70265,2024-12,City of London Police,City of London Police,-0.112537,51.519582,On or near Gray'S Inn Square,E01000914,Camden 028B,Shoplifting,Under investigation,
5fe3737ddf7156d6fb68bb3a2b54dcb1f7bc354f5f70e979ec580750a0cd6b6a,2024-12,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
bd607b26a9614f4ee3de972767f740f09ab7d8ad2bafc040fa96fbc9c78f83b8,2024-12,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other crime,Under investigation,
0fa164216d6547888251b0727a20e435d2236e3280955a9897895515fb36710c,2024-12,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Bicycle theft,Investigation complete; no suspect identified,
61eed7dc76e08efe008d4076cec553dc090a5684c2574a85fe5d8ad7f1a1d3b5,2024-12,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified,
982c372818bdfc2120f3995b27fef450c85454c438e76a23d0440324f03e402b,2024-12,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
381815469e45b62fb168ae199eedd85fb03e10b072c2c5064aff5f43709ce514,2024-12,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
