Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
b74d06161e2425ef2abf28345aa962fa862753669659d3235647d29a0821c0f4,2024-09,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Robbery,Unable to prosecute suspect,
ab9f963604d03486ffbefec80f9f9296c7f65ecd4cd0471e1da2f43bb9484ae9,2024-09,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Violence and sexual offences,Unable to prosecute suspect,
71c1e6edfb73383e82ca6acdc1c9c0ef015334b529f2983335d0c2ecdd5766cb,2024-09,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Violence and sexual offences,Status update unavailable,
7eaad3255f757cf5073dfd3712193f4497e788b3f6519f582066843007d17aee,2024-09,City of London Police,City of London Police,-0.112096,51.515942,On or near Nightclub,E01000914,Camden 028B,Violence and sexual offences,Status update unavailable,
ffd4fa1198f7047ecdb40062e3bfcd5ef99cc2b657ba671e49b36e128f579396,2024-09,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Awaiting court outcome,
18dddc35ffc2ebcdda422d8f143cf7e7d1df1a35bc250bdd6db0890e7f9b1d22,2024-09,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
bb39d159456b57653bae7b4613cbe7cff560e980fa3a59973d87c8f5625a4afe,2024-09,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
a8a7dfc7cc6f5fc45be1573ff5006ba00db47c1f65c2c8e488699d62334676aa,2024-09,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
06e7c6b6541166a8abe71de2593b9576c5e26215e349e4aa41324fccb497efb7,2024-09,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
9cd599d382b366606982d96c1341932053480d2d83a6e405a9c091ed0667bf06,2024-09,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Shoplifting,Investigation complete; no suspect identified,
