Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
9ab0454fa8f7675a4d7e37ae4049f4037434c49ce79eb662b6b4b1ee8c65f62f,2024-10,City of London Police,City of London Police,-0.10622,51.518275,On or near B500,E01000916,Camden 027B,Public order,Investigation complete; no suspect identified,
1c9065bb9c50528ff93021fd3c1231b032df6c2c86855512cde83781cdfcccc8,2024-10,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Other theft,Investigation complete; no suspect identified,
78e58a9f6f907dc2ef153057574fc486f4eea2ee5f05fc633b6919617c8f4f44,2024-10,City of London Police,City of London Police,-0.11035,51.51809,On or near Holborn,E01000917,Camden 027C,Theft from the person,Investigation complete; no suspect identified,
2a15aed4fdc3f7fe386db09cff6b7b617135eb543eecb8d82b01494db6807a9b,2024-10,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Vehicle crime,Investigation complete; no suspect identified,
931cdba37ef13d22e3ccff04d4a8735c01c61d6e060eec69ffce00ce8dc56e2f,2024-10,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Drugs,Awaiting court outcome,
5a8ddcac588691a836cea8214ac22a35d8a98d8570f853a94d5913ec3aed618f,2024-10,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
2bd60aa5d06d0366e206e41698653c134218f48dcffa99aa8921ccbfd1b4c632,2024-10,City of London Police,City of London Police,-0.097506,51.521228,On or near Aldersgate Street,E01000001,City of London 001A,Criminal damage and arson,Investigation complete; no suspect identified,
5051ac8531783c07125db7702ac883a77e74aaafe72c0136c5eb158b0d1b141c,2024-10,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Drugs,Unable to prosecute suspect,
cecf701b20167e38a19deb785b6c85b853eb70779460a93c584b38716efbeb30,2024-10,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e9ea0fd514011ed73f1223209867c7ee6fbeb5c6fb7e21a2d471e1a9fbd1e5fd,2024-10,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
