,postcode,district,ward,nearest_station
0,BR1 1AA,Bromley,Bromley Town,Bromley South
1,BR1 1AB,Bromley,Bromley Town,Bromley North
2,BR1 1AD,Bromley,Bromley Town,Bromley South
3,BR1 1AE,Bromley,Bromley Town,Bromley North
4,BR1 1AF,Bromley,Bromley Town,Bromley South
5,BR1 1AG,Bromley,Bromley Town,Bromley South
6,BR1 1AH,Bromley,Bromley Town,Bromley South
7,BR1 1AJ,Bromley,Bromley Town,Bromley South
8,BR1 1AL,Bromley,Bromley Town,Bromley North
9,BR1 1AN,Bromley,Bromley Town,Bromley North
